NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,REXP,EXP,condition,Loop,Lock,Function,Runtime,Cpu,Memory,IO,runeffect,cpueffect,memeffect,ioeffect
1,2,2,0.800987314,0.467213115,0.044039484,0.424857891,0,1,0.972421291,NA,NA,2,0,0,95,0,0,0,0,not,not,implarge,not
1,2,2,0.997502546,0.00136612,0.023538345,0.100977199,1,2,0.823465831,NA,NA,0,2,0,8,0,0,0,1,not,implarge,implarge,implarge
1,3,4,0.72539244,0.00068306,0.040242976,0.239573354,1,2,0.912851255,46,46,1,0,0,1,0,0,0,0,implarge,not,not,not
1,1,1,0,0.00068306,0,0.174426774,1,2,0.853647907,46,46,0,0,0,2,0,0,1,0,impmedium,not,regmedium,not
1,1,2,0.362051252,0.00273224,0.018223235,0.096697963,0,2,0.709304557,24,139,2,0,0,2,0,0,0,0,implarge,implarge,not,not
1,3,6,2.019953985,0.008879781,0.067577828,0.153733155,1,2,0.883507665,10,11,1,1,0,12,0,0,1,0,not,impmedium,regmedium,not
1,3,3,1.49553803,0.005464481,0.006833713,0.13501948,1,2,0.880708171,NA,NA,0,0,0,3,0,1,0,0,not,regmedium,implarge,not
1,4,7,1.908421828,0.038251366,0.176157935,0.276298141,1,2,0.873918409,NA,NA,0,0,0,2,1,0,0,0,regmedium,implarge,not,not
1,5,9,2.568042698,0.043715847,0.291571754,0.485916842,0,2,0.870957958,76,82,0,0,0,2,0,1,0,0,not,reglarge,not,not
1,5,9,2.568042698,0.043715847,0.291571754,0.485916842,1,2,0.870957958,76,82,0,0,0,0,0,1,0,0,implarge,reglarge,not,not
1,2,2,0.32984607,0.00068306,0.023538345,0.121287603,1,2,0.869809328,6,25,2,1,0,5,0,0,0,0,not,not,not,not
1,3,4,1.793717124,0.007513661,0.042520881,0.092035511,1,1,0.865027881,76,82,1,0,0,13,1,1,0,0,reglarge,reglarge,not,not
2,3,5,1.711121078,0.004781421,0.060744115,0.137701986,1,2,0.864586374,48,106,0,0,0,0,1,0,0,0,regmedium,impmedium,not,not
2,3,5,1.711121078,0.004781421,0.060744115,0.137701986,0,2,0.864586374,48,106,0,0,0,4,0,0,0,0,not,impmedium,not,not
2,3,5,1.711121078,0.004781421,0.060744115,0.137701986,0,2,0.864586374,48,106,0,0,0,2,0,1,0,0,implarge,reglarge,not,not
1,2,3,0.889113618,0.020491803,0.01594533,0.10091333,0,2,0.86264818,0,732,1,0,0,4,0,0,0,0,implarge,not,not,not
1,1,1,0,0.00068306,0.000759301,0.391773648,0,2,0.857231447,NA,NA,0,0,0,3,0,1,1,0,not,regmedium,regmedium,not
1,1,1,0,0.00068306,0.001518603,0.038576994,1,2,0.857209341,104,104,0,2,0,3,1,1,1,0,regmedium,reglarge,regmedium,not
1,3,3,1.294302404,0.00136612,0.056188307,0.173468736,1,1,0.857281262,80,269,0,0,0,0,0,0,0,0,not,not,not,not
